,precision,recall,f1-score,support
apple_pie,0.2823529411764706,0.31788079470198677,0.29906542056074764,151.0
baby_back_ribs,0.4397590361445783,0.5488721804511278,0.4882943143812709,133.0
baklava,0.7008547008547008,0.6074074074074074,0.6507936507936508,135.0
beef_carpaccio,0.6906474820143885,0.6274509803921569,0.6575342465753424,153.0
beef_tartare,0.44285714285714284,0.6078431372549019,0.512396694214876,153.0
beet_salad,0.6017699115044248,0.4857142857142857,0.5375494071146245,140.0
beignets,0.6842105263157895,0.7738095238095238,0.7262569832402235,168.0
bibimbap,0.7358490566037735,0.7267080745341615,0.73125,161.0
bread_pudding,0.28888888888888886,0.36879432624113473,0.32398753894080995,141.0
breakfast_burrito,0.4945054945054945,0.3284671532846715,0.39473684210526316,137.0
bruschetta,0.5028571428571429,0.5906040268456376,0.5432098765432098,149.0
caesar_salad,0.6037735849056604,0.6,0.6018808777429467,160.0
cannoli,0.6829268292682927,0.535031847133758,0.6,157.0
caprese_salad,0.7475728155339806,0.5310344827586206,0.6209677419354839,145.0
carrot_cake,0.5736434108527132,0.5211267605633803,0.5461254612546126,142.0
ceviche,0.3841059602649007,0.36024844720496896,0.3717948717948718,161.0
cheesecake,0.46987951807228917,0.47560975609756095,0.4727272727272727,164.0
cheese_plate,0.4207650273224044,0.5703703703703704,0.48427672955974843,135.0
chicken_curry,0.43478260869565216,0.5072463768115942,0.4682274247491639,138.0
chicken_quesadilla,0.5655172413793104,0.5290322580645161,0.5466666666666666,155.0
chicken_wings,0.5602094240837696,0.7086092715231788,0.6257309941520468,151.0
chocolate_cake,0.41044776119402987,0.3716216216216216,0.3900709219858156,148.0
chocolate_mousse,0.30864197530864196,0.32894736842105265,0.3184713375796178,152.0
churros,0.6304347826086957,0.5918367346938775,0.6105263157894737,147.0
clam_chowder,0.654320987654321,0.6385542168674698,0.6463414634146342,166.0
club_sandwich,0.7426470588235294,0.6196319018404908,0.6755852842809364,163.0
crab_cakes,0.410958904109589,0.41379310344827586,0.41237113402061853,145.0
creme_brulee,0.697841726618705,0.6928571428571428,0.6953405017921147,140.0
croque_madame,0.7238805970149254,0.6736111111111112,0.697841726618705,144.0
cup_cakes,0.5492957746478874,0.4785276073619632,0.5114754098360655,163.0
deviled_eggs,0.7299270072992701,0.6622516556291391,0.6944444444444444,151.0
donuts,0.4557823129251701,0.4407894736842105,0.44816053511705684,152.0
dumplings,0.7777777777777778,0.6774193548387096,0.7241379310344828,155.0
edamame,0.9308176100628931,0.925,0.9278996865203761,160.0
eggs_benedict,0.6307692307692307,0.640625,0.6356589147286822,128.0
escargots,0.5584415584415584,0.6099290780141844,0.5830508474576271,141.0
falafel,0.5,0.6038961038961039,0.5470588235294118,154.0
filet_mignon,0.3629032258064516,0.30201342281879195,0.32967032967032966,149.0
fish_and_chips,0.5698924731182796,0.6928104575163399,0.6253687315634219,153.0
foie_gras,0.3741496598639456,0.3741496598639456,0.3741496598639456,147.0
french_fries,0.6402439024390244,0.7446808510638298,0.6885245901639344,141.0
french_onion_soup,0.6094674556213018,0.7006802721088435,0.6518987341772152,147.0
french_toast,0.5826771653543307,0.4277456647398844,0.49333333333333335,173.0
fried_calamari,0.4930875576036866,0.6369047619047619,0.5558441558441558,168.0
fried_rice,0.4109090909090909,0.70625,0.5195402298850574,160.0
frozen_yogurt,0.7913043478260869,0.5652173913043478,0.6594202898550725,161.0
garlic_bread,0.526595744680851,0.6111111111111112,0.5657142857142857,162.0
gnocchi,0.3891891891891892,0.48322147651006714,0.4311377245508982,149.0
greek_salad,0.6216216216216216,0.6174496644295302,0.6195286195286195,149.0
grilled_cheese_sandwich,0.5206611570247934,0.3684210526315789,0.4315068493150685,171.0
grilled_salmon,0.34710743801652894,0.30656934306569344,0.32558139534883723,137.0
guacamole,0.6186046511627907,0.7471910112359551,0.6768447837150128,178.0
gyoza,0.6923076923076923,0.4645161290322581,0.555984555984556,155.0
hamburger,0.6416666666666667,0.4723926380368098,0.5441696113074205,163.0
hot_and_sour_soup,0.8115942028985508,0.7887323943661971,0.8,142.0
hot_dog,0.62,0.41333333333333333,0.496,150.0
huevos_rancheros,0.3488372093023256,0.3409090909090909,0.3448275862068966,132.0
hummus,0.30097087378640774,0.37575757575757573,0.33423180592991913,165.0
ice_cream,0.3258426966292135,0.4142857142857143,0.36477987421383645,140.0
lasagna,0.4316546762589928,0.45454545454545453,0.44280442804428044,132.0
lobster_bisque,0.7266187050359713,0.6870748299319728,0.7062937062937062,147.0
lobster_roll_sandwich,0.5439560439560439,0.668918918918919,0.6,148.0
macaroni_and_cheese,0.40654205607476634,0.5878378378378378,0.48066298342541436,148.0
macarons,0.7786259541984732,0.6754966887417219,0.723404255319149,151.0
miso_soup,0.8297872340425532,0.7647058823529411,0.7959183673469388,153.0
mussels,0.7794117647058824,0.7066666666666667,0.7412587412587412,150.0
nachos,0.49586776859504134,0.3870967741935484,0.43478260869565216,155.0
omelette,0.3902439024390244,0.3310344827586207,0.3582089552238806,145.0
onion_rings,0.6224489795918368,0.7218934911242604,0.6684931506849315,169.0
oysters,0.7615894039735099,0.7666666666666667,0.7641196013289037,150.0
pad_thai,0.697841726618705,0.6298701298701299,0.6621160409556314,154.0
paella,0.5485714285714286,0.588957055214724,0.5680473372781065,163.0
pancakes,0.5449438202247191,0.60625,0.5739644970414202,160.0
panna_cotta,0.4129032258064516,0.45714285714285713,0.43389830508474575,140.0
peking_duck,0.6989247311827957,0.48148148148148145,0.5701754385964912,135.0
pho,0.9130434782608695,0.7446808510638298,0.8203125,141.0
pizza,0.746031746031746,0.6527777777777778,0.6962962962962963,144.0
pork_chop,0.2537313432835821,0.21935483870967742,0.23529411764705882,155.0
poutine,0.6455696202531646,0.723404255319149,0.6822742474916388,141.0
prime_rib,0.782608695652174,0.5325443786982249,0.6338028169014085,169.0
pulled_pork_sandwich,0.4260355029585799,0.5669291338582677,0.4864864864864865,127.0
ramen,0.7364341085271318,0.6129032258064516,0.6690140845070423,155.0
ravioli,0.3877551020408163,0.2753623188405797,0.3220338983050847,138.0
red_velvet_cake,0.5824175824175825,0.762589928057554,0.660436137071651,139.0
risotto,0.31063829787234043,0.553030303030303,0.3978201634877384,132.0
samosa,0.46629213483146065,0.5763888888888888,0.515527950310559,144.0
sashimi,0.8292682926829268,0.6666666666666666,0.7391304347826086,153.0
scallops,0.48623853211009177,0.3509933774834437,0.4076923076923077,151.0
seaweed_salad,0.7666666666666667,0.8156028368794326,0.7903780068728522,141.0
shrimp_and_grits,0.475,0.5135135135135135,0.4935064935064935,148.0
spaghetti_bolognese,0.6235955056179775,0.7816901408450704,0.69375,142.0
spaghetti_carbonara,0.6824324324324325,0.7112676056338029,0.696551724137931,142.0
spring_rolls,0.7659574468085106,0.4585987261146497,0.5737051792828686,157.0
steak,0.34074074074074073,0.3129251700680272,0.3262411347517731,147.0
strawberry_shortcake,0.515625,0.678082191780822,0.5857988165680473,146.0
sushi,0.6106870229007634,0.5517241379310345,0.5797101449275363,145.0
tacos,0.5,0.3466666666666667,0.4094488188976378,150.0
takoyaki,0.7387387387387387,0.5655172413793104,0.640625,145.0
tiramisu,0.575,0.5859872611464968,0.580441640378549,157.0
tuna_tartare,0.4375,0.28823529411764703,0.3475177304964539,170.0
