,precision,recall,f1-score,support
apple_pie,0.37668161434977576,0.336,0.35517970401691334,250.0
baby_back_ribs,0.7293577981651376,0.636,0.6794871794871795,250.0
baklava,0.7672413793103449,0.712,0.7385892116182573,250.0
beef_carpaccio,0.7461538461538462,0.776,0.7607843137254902,250.0
beef_tartare,0.6013745704467354,0.7,0.6469500924214417,250.0
beet_salad,0.6551724137931034,0.608,0.6307053941908713,250.0
beignets,0.7256944444444444,0.836,0.7769516728624535,250.0
bibimbap,0.8553191489361702,0.804,0.8288659793814434,250.0
bread_pudding,0.39925373134328357,0.428,0.41312741312741313,250.0
breakfast_burrito,0.44635193133047213,0.416,0.4306418219461698,250.0
bruschetta,0.5763358778625954,0.604,0.58984375,250.0
caesar_salad,0.6861313868613139,0.752,0.7175572519083969,250.0
cannoli,0.6878048780487804,0.564,0.6197802197802198,250.0
caprese_salad,0.7699115044247787,0.696,0.7310924369747899,250.0
carrot_cake,0.5986394557823129,0.704,0.6470588235294118,250.0
ceviche,0.5308056872037915,0.448,0.48590021691973967,250.0
cheesecake,0.5972850678733032,0.528,0.5605095541401274,250.0
cheese_plate,0.5678571428571428,0.636,0.6,250.0
chicken_curry,0.5617021276595745,0.528,0.5443298969072164,250.0
chicken_quesadilla,0.5364238410596026,0.648,0.5869565217391305,250.0
chicken_wings,0.74,0.74,0.74,250.0
chocolate_cake,0.6,0.54,0.5684210526315789,250.0
chocolate_mousse,0.4349593495934959,0.428,0.4314516129032258,250.0
churros,0.757201646090535,0.736,0.7464503042596349,250.0
clam_chowder,0.811965811965812,0.76,0.7851239669421488,250.0
club_sandwich,0.7260869565217392,0.668,0.6958333333333333,250.0
crab_cakes,0.4556213017751479,0.616,0.5238095238095238,250.0
creme_brulee,0.7840909090909091,0.828,0.8054474708171206,250.0
croque_madame,0.7210144927536232,0.796,0.7566539923954373,250.0
cup_cakes,0.7393162393162394,0.692,0.7148760330578512,250.0
deviled_eggs,0.869198312236287,0.824,0.8459958932238193,250.0
donuts,0.6551724137931034,0.608,0.6307053941908713,250.0
dumplings,0.8464730290456431,0.816,0.8309572301425662,250.0
edamame,0.9795918367346939,0.96,0.9696969696969697,250.0
eggs_benedict,0.7251908396946565,0.76,0.7421875,250.0
escargots,0.6810035842293907,0.76,0.718336483931947,250.0
falafel,0.5991735537190083,0.58,0.5894308943089431,250.0
filet_mignon,0.5145631067961165,0.424,0.4649122807017544,250.0
fish_and_chips,0.6416382252559727,0.752,0.6924493554327809,250.0
foie_gras,0.5271739130434783,0.388,0.4470046082949309,250.0
french_fries,0.7419354838709677,0.828,0.782608695652174,250.0
french_onion_soup,0.6598639455782312,0.776,0.7132352941176471,250.0
french_toast,0.6025641025641025,0.564,0.5826446280991735,250.0
fried_calamari,0.6916666666666667,0.664,0.6775510204081633,250.0
fried_rice,0.7126436781609196,0.744,0.7279843444227005,250.0
frozen_yogurt,0.8199052132701422,0.692,0.7505422993492408,250.0
garlic_bread,0.672645739910314,0.6,0.6342494714587738,250.0
gnocchi,0.506993006993007,0.58,0.5410447761194029,250.0
greek_salad,0.7396694214876033,0.716,0.7276422764227642,250.0
grilled_cheese_sandwich,0.45794392523364486,0.588,0.5148861646234676,250.0
grilled_salmon,0.49327354260089684,0.44,0.46511627906976744,250.0
guacamole,0.7822878228782287,0.848,0.8138195777351248,250.0
gyoza,0.6991150442477876,0.632,0.6638655462184874,250.0
hamburger,0.631336405529954,0.548,0.5867237687366167,250.0
hot_and_sour_soup,0.8088235294117647,0.88,0.842911877394636,250.0
hot_dog,0.7386934673366834,0.588,0.6547884187082406,250.0
huevos_rancheros,0.4490566037735849,0.476,0.4621359223300971,250.0
hummus,0.5364806866952789,0.5,0.5175983436853002,250.0
ice_cream,0.5901639344262295,0.432,0.49884526558891457,250.0
lasagna,0.4965753424657534,0.58,0.5350553505535055,250.0
lobster_bisque,0.7453874538745388,0.808,0.7754318618042226,250.0
lobster_roll_sandwich,0.7583333333333333,0.728,0.7428571428571429,250.0
macaroni_and_cheese,0.5431309904153354,0.68,0.6039076376554174,250.0
macarons,0.8973214285714286,0.804,0.8481012658227848,250.0
miso_soup,0.8675213675213675,0.812,0.8388429752066116,250.0
mussels,0.8220338983050848,0.776,0.7983539094650206,250.0
nachos,0.5653846153846154,0.588,0.5764705882352941,250.0
omelette,0.5039370078740157,0.512,0.5079365079365079,250.0
onion_rings,0.8034188034188035,0.752,0.7768595041322314,250.0
oysters,0.8774703557312253,0.888,0.882703777335984,250.0
pad_thai,0.7831325301204819,0.78,0.781563126252505,250.0
paella,0.6612903225806451,0.656,0.6586345381526104,250.0
pancakes,0.6571428571428571,0.736,0.6943396226415094,250.0
panna_cotta,0.5288888888888889,0.476,0.5010526315789474,250.0
peking_duck,0.8181818181818182,0.648,0.7232142857142857,250.0
pho,0.8352941176470589,0.852,0.8435643564356435,250.0
pizza,0.6888888888888889,0.744,0.7153846153846154,250.0
pork_chop,0.4094488188976378,0.416,0.4126984126984127,250.0
poutine,0.7418181818181818,0.816,0.7771428571428571,250.0
prime_rib,0.7748917748917749,0.716,0.7442827442827443,250.0
pulled_pork_sandwich,0.5729537366548043,0.644,0.6064030131826742,250.0
ramen,0.7695852534562212,0.668,0.715203426124197,250.0
ravioli,0.40540540540540543,0.42,0.412573673870334,250.0
red_velvet_cake,0.7824427480916031,0.82,0.80078125,250.0
risotto,0.5390070921985816,0.608,0.5714285714285714,250.0
samosa,0.6061946902654868,0.548,0.5756302521008403,250.0
sashimi,0.8675213675213675,0.812,0.8388429752066116,250.0
scallops,0.5907172995780591,0.56,0.5749486652977412,250.0
seaweed_salad,0.854251012145749,0.844,0.8490945674044266,250.0
shrimp_and_grits,0.49635036496350365,0.544,0.5190839694656488,250.0
spaghetti_bolognese,0.7015873015873015,0.884,0.7823008849557522,250.0
spaghetti_carbonara,0.807843137254902,0.824,0.8158415841584158,250.0
spring_rolls,0.6908212560386473,0.572,0.6258205689277899,250.0
steak,0.4139194139194139,0.452,0.4321223709369025,250.0
strawberry_shortcake,0.6929133858267716,0.704,0.6984126984126984,250.0
sushi,0.8341463414634146,0.684,0.7516483516483516,250.0
tacos,0.4894366197183099,0.556,0.5205992509363296,250.0
takoyaki,0.6814516129032258,0.676,0.678714859437751,250.0
tiramisu,0.6639676113360324,0.656,0.6599597585513078,250.0
tuna_tartare,0.5849056603773585,0.496,0.5367965367965368,250.0
waffles,0.5986842105263158,0.728,0.6570397111913358,250.0
accuracy,0.6594059405940594,0.6594059405940594,0.6594059405940594,0.6594059405940594
macro avg,0.6632039000731147,0.6594059405940593,0.6590484552100481,25250.0
weighted avg,0.6632039000731147,0.6594059405940594,0.6590484552100482,25250.0
