,precision,recall,f1-score,support
apple_pie,0.5906735751295337,0.456,0.5146726862302483,250.0
baby_back_ribs,0.7755905511811023,0.788,0.7817460317460317,250.0
baklava,0.803088803088803,0.832,0.8172888015717092,250.0
beef_carpaccio,0.7421875,0.76,0.7509881422924901,250.0
beef_tartare,0.6571428571428571,0.644,0.6505050505050505,250.0
beet_salad,0.5737704918032787,0.56,0.5668016194331984,250.0
beignets,0.8218181818181818,0.904,0.8609523809523809,250.0
bibimbap,0.8943089430894309,0.88,0.8870967741935484,250.0
bread_pudding,0.5319148936170213,0.5,0.5154639175257731,250.0
breakfast_burrito,0.7379032258064516,0.732,0.7349397590361446,250.0
bruschetta,0.6477732793522267,0.64,0.6438631790744467,250.0
caesar_salad,0.7138047138047138,0.848,0.7751371115173674,250.0
cannoli,0.88,0.792,0.8336842105263158,250.0
caprese_salad,0.6984732824427481,0.732,0.71484375,250.0
carrot_cake,0.7269076305220884,0.724,0.7254509018036072,250.0
ceviche,0.5903083700440529,0.536,0.5618448637316562,250.0
cheesecake,0.5877862595419847,0.616,0.6015625,250.0
cheese_plate,0.7777777777777778,0.756,0.7667342799188641,250.0
chicken_curry,0.6609442060085837,0.616,0.6376811594202898,250.0
chicken_quesadilla,0.7346153846153847,0.764,0.7490196078431373,250.0
chicken_wings,0.7992565055762082,0.86,0.8285163776493256,250.0
chocolate_cake,0.6979591836734694,0.684,0.6909090909090909,250.0
chocolate_mousse,0.5951219512195122,0.488,0.5362637362637362,250.0
churros,0.8780487804878049,0.864,0.8709677419354839,250.0
clam_chowder,0.7941176470588235,0.864,0.8275862068965517,250.0
club_sandwich,0.7757352941176471,0.844,0.8084291187739464,250.0
crab_cakes,0.6396761133603239,0.632,0.635814889336016,250.0
creme_brulee,0.7912087912087912,0.864,0.8260038240917782,250.0
croque_madame,0.8223938223938224,0.852,0.8369351669941061,250.0
cup_cakes,0.7992831541218638,0.892,0.8431001890359168,250.0
deviled_eggs,0.8543307086614174,0.868,0.8611111111111112,250.0
donuts,0.8286852589641435,0.832,0.8303393213572854,250.0
dumplings,0.8835341365461847,0.88,0.8817635270541082,250.0
edamame,0.9800796812749004,0.984,0.9820359281437125,250.0
eggs_benedict,0.84,0.84,0.84,250.0
escargots,0.8634538152610441,0.86,0.8617234468937875,250.0
falafel,0.762114537444934,0.692,0.7253668763102725,250.0
filet_mignon,0.5405405405405406,0.56,0.550098231827112,250.0
fish_and_chips,0.8205128205128205,0.768,0.7933884297520661,250.0
foie_gras,0.47435897435897434,0.444,0.45867768595041325,250.0
french_fries,0.7912457912457912,0.94,0.8592321755027422,250.0
french_onion_soup,0.7730769230769231,0.804,0.788235294117647,250.0
french_toast,0.6692913385826772,0.68,0.6746031746031746,250.0
fried_calamari,0.7569721115537849,0.76,0.7584830339321357,250.0
fried_rice,0.8082706766917294,0.86,0.8333333333333334,250.0
frozen_yogurt,0.8674242424242424,0.916,0.8910505836575876,250.0
garlic_bread,0.6678445229681979,0.756,0.7091932457786116,250.0
gnocchi,0.68,0.68,0.68,250.0
greek_salad,0.6666666666666666,0.768,0.7137546468401487,250.0
grilled_cheese_sandwich,0.6666666666666666,0.664,0.6653306613226453,250.0
grilled_salmon,0.6090534979423868,0.592,0.6004056795131846,250.0
guacamole,0.8171641791044776,0.876,0.8455598455598455,250.0
gyoza,0.8065843621399177,0.784,0.795131845841785,250.0
hamburger,0.77734375,0.796,0.7865612648221344,250.0
hot_and_sour_soup,0.9066147859922179,0.932,0.9191321499013807,250.0
hot_dog,0.8178294573643411,0.844,0.8307086614173228,250.0
huevos_rancheros,0.6292682926829268,0.516,0.567032967032967,250.0
hummus,0.7236180904522613,0.576,0.6414253897550112,250.0
ice_cream,0.8016877637130801,0.76,0.7802874743326489,250.0
lasagna,0.6383763837638377,0.692,0.6641074856046065,250.0
lobster_bisque,0.8063241106719368,0.816,0.8111332007952287,250.0
lobster_roll_sandwich,0.8223140495867769,0.796,0.8089430894308943,250.0
macaroni_and_cheese,0.7420634920634921,0.748,0.7450199203187251,250.0
macarons,0.9558232931726908,0.952,0.9539078156312625,250.0
miso_soup,0.9142857142857143,0.896,0.9050505050505051,250.0
mussels,0.944206008583691,0.88,0.9109730848861284,250.0
nachos,0.6938775510204082,0.68,0.6868686868686869,250.0
omelette,0.603112840466926,0.62,0.611439842209073,250.0
onion_rings,0.8648648648648649,0.896,0.8801571709233792,250.0
oysters,0.9467213114754098,0.924,0.9352226720647774,250.0
pad_thai,0.8049645390070922,0.908,0.8533834586466166,250.0
paella,0.8024193548387096,0.796,0.7991967871485943,250.0
pancakes,0.789272030651341,0.824,0.8062622309197651,250.0
panna_cotta,0.6788617886178862,0.668,0.6733870967741935,250.0
peking_duck,0.7966101694915254,0.752,0.7736625514403292,250.0
pho,0.8507462686567164,0.912,0.8803088803088803,250.0
pizza,0.8604651162790697,0.888,0.8740157480314961,250.0
pork_chop,0.5155555555555555,0.464,0.4884210526315789,250.0
poutine,0.8395061728395061,0.816,0.8275862068965517,250.0
prime_rib,0.704225352112676,0.8,0.7490636704119851,250.0
pulled_pork_sandwich,0.7872340425531915,0.74,0.7628865979381443,250.0
ramen,0.8312236286919831,0.788,0.8090349075975359,250.0
ravioli,0.5260663507109005,0.444,0.48156182212581344,250.0
red_velvet_cake,0.7736625514403292,0.752,0.7626774847870182,250.0
risotto,0.7321428571428571,0.656,0.6919831223628692,250.0
samosa,0.8347826086956521,0.768,0.8,250.0
sashimi,0.8333333333333334,0.9,0.8653846153846154,250.0
scallops,0.5892116182572614,0.568,0.5784114052953157,250.0
seaweed_salad,0.889763779527559,0.904,0.8968253968253969,250.0
shrimp_and_grits,0.6051660516605166,0.656,0.6295585412667947,250.0
spaghetti_bolognese,0.8813559322033898,0.832,0.8559670781893004,250.0
spaghetti_carbonara,0.87109375,0.892,0.8814229249011858,250.0
spring_rolls,0.8208333333333333,0.788,0.8040816326530612,250.0
steak,0.510752688172043,0.38,0.43577981651376146,250.0
strawberry_shortcake,0.6891385767790262,0.736,0.7117988394584139,250.0
sushi,0.7896995708154506,0.736,0.7619047619047619,250.0
tacos,0.5693950177935944,0.64,0.6026365348399246,250.0
takoyaki,0.8326848249027238,0.856,0.8441814595660749,250.0
tiramisu,0.6548042704626335,0.736,0.6930320150659134,250.0
tuna_tartare,0.5836909871244635,0.544,0.5631469979296067,250.0
waffles,0.852,0.852,0.852,250.0
accuracy,0.752990099009901,0.752990099009901,0.752990099009901,0.752990099009901
macro avg,0.7510540247964735,0.7529900990099011,0.7509025363016946,25250.0
weighted avg,0.7510540247964732,0.752990099009901,0.7509025363016946,25250.0
