Class,precision,recall,f1-score,support
apple_pie,0.5765765765765766,0.512,0.5423728813559322,250.0
baby_back_ribs,0.7680608365019012,0.808,0.7875243664717348,250.0
baklava,0.8127340823970037,0.868,0.839458413926499,250.0
beef_carpaccio,0.7890625,0.808,0.7984189723320159,250.0
beef_tartare,0.6893617021276596,0.648,0.668041237113402,250.0
beet_salad,0.55,0.528,0.5387755102040817,250.0
beignets,0.795774647887324,0.904,0.846441947565543,250.0
bibimbap,0.9094650205761317,0.884,0.896551724137931,250.0
bread_pudding,0.5378787878787878,0.568,0.5525291828793775,250.0
breakfast_burrito,0.7054263565891473,0.728,0.7165354330708661,250.0
bruschetta,0.7450980392156863,0.608,0.6696035242290749,250.0
caesar_salad,0.8095238095238095,0.816,0.8127490039840638,250.0
cannoli,0.8266129032258065,0.82,0.8232931726907631,250.0
caprese_salad,0.7327935222672065,0.724,0.7283702213279678,250.0
carrot_cake,0.7217741935483871,0.716,0.7188755020080321,250.0
ceviche,0.5882352941176471,0.64,0.6130268199233716,250.0
cheesecake,0.6097560975609756,0.7,0.6517690875232774,250.0
cheese_plate,0.851063829787234,0.8,0.8247422680412371,250.0
chicken_curry,0.6485355648535565,0.62,0.6339468302658486,250.0
chicken_quesadilla,0.8141592920353983,0.736,0.773109243697479,250.0
chicken_wings,0.8244274809160306,0.864,0.84375,250.0
chocolate_cake,0.6436363636363637,0.708,0.6742857142857143,250.0
chocolate_mousse,0.5123674911660777,0.58,0.5440900562851783,250.0
churros,0.8656126482213439,0.876,0.8707753479125249,250.0
clam_chowder,0.8345864661654135,0.888,0.8604651162790697,250.0
club_sandwich,0.8253968253968254,0.832,0.8286852589641435,250.0
crab_cakes,0.6844444444444444,0.616,0.6484210526315789,250.0
creme_brulee,0.8287937743190662,0.852,0.8402366863905325,250.0
croque_madame,0.8649789029535865,0.82,0.8418891170431212,250.0
cup_cakes,0.8248175182481752,0.904,0.8625954198473282,250.0
deviled_eggs,0.895397489539749,0.856,0.8752556237218814,250.0
donuts,0.8068181818181818,0.852,0.8287937743190662,250.0
dumplings,0.8653846153846154,0.9,0.8823529411764706,250.0
edamame,0.9682539682539683,0.976,0.9721115537848606,250.0
eggs_benedict,0.8683127572016461,0.844,0.8559837728194726,250.0
escargots,0.8699186991869918,0.856,0.8629032258064516,250.0
falafel,0.7466666666666667,0.672,0.7073684210526315,250.0
filet_mignon,0.5943775100401606,0.592,0.593186372745491,250.0
fish_and_chips,0.8070866141732284,0.82,0.8134920634920635,250.0
foie_gras,0.4529616724738676,0.52,0.48417132216014896,250.0
french_fries,0.8375451263537906,0.928,0.8804554079696395,250.0
french_onion_soup,0.7744360902255639,0.824,0.7984496124031008,250.0
french_toast,0.7004048582995951,0.692,0.6961770623742455,250.0
fried_calamari,0.8042553191489362,0.756,0.7793814432989691,250.0
fried_rice,0.8553191489361702,0.804,0.8288659793814434,250.0
frozen_yogurt,0.9090909090909091,0.92,0.9145129224652088,250.0
garlic_bread,0.7543859649122807,0.688,0.7196652719665272,250.0
gnocchi,0.6835443037974683,0.648,0.6652977412731006,250.0
greek_salad,0.7299270072992701,0.8,0.7633587786259542,250.0
grilled_cheese_sandwich,0.6844262295081968,0.668,0.6761133603238867,250.0
grilled_salmon,0.6609442060085837,0.616,0.6376811594202898,250.0
guacamole,0.8467432950191571,0.884,0.8649706457925636,250.0
gyoza,0.8571428571428571,0.768,0.810126582278481,250.0
hamburger,0.7734375,0.792,0.782608695652174,250.0
hot_and_sour_soup,0.8935361216730038,0.94,0.9161793372319688,250.0
hot_dog,0.8118081180811808,0.88,0.8445297504798465,250.0
huevos_rancheros,0.6415094339622641,0.544,0.5887445887445888,250.0
hummus,0.6877828054298643,0.608,0.6454352441613588,250.0
ice_cream,0.7714285714285715,0.756,0.7636363636363637,250.0
lasagna,0.7109375,0.728,0.7193675889328063,250.0
lobster_bisque,0.7910447761194029,0.848,0.8185328185328186,250.0
lobster_roll_sandwich,0.8793103448275862,0.816,0.8464730290456431,250.0
macaroni_and_cheese,0.7914691943127962,0.668,0.7245119305856833,250.0
macarons,0.9484126984126984,0.956,0.952191235059761,250.0
miso_soup,0.927710843373494,0.924,0.9258517034068137,250.0
mussels,0.9495798319327731,0.904,0.9262295081967213,250.0
nachos,0.7877358490566038,0.668,0.7229437229437229,250.0
omelette,0.6103896103896104,0.564,0.5862785862785863,250.0
onion_rings,0.8599221789883269,0.884,0.8717948717948718,250.0
oysters,0.9346938775510204,0.916,0.9252525252525252,250.0
pad_thai,0.7716262975778547,0.892,0.8274582560296846,250.0
paella,0.8155737704918032,0.796,0.805668016194332,250.0
pancakes,0.8,0.832,0.8156862745098039,250.0
panna_cotta,0.6691449814126395,0.72,0.6936416184971098,250.0
peking_duck,0.7890625,0.808,0.7984189723320159,250.0
pho,0.8807692307692307,0.916,0.8980392156862745,250.0
pizza,0.7902097902097902,0.904,0.8432835820895522,250.0
pork_chop,0.5545454545454546,0.488,0.5191489361702127,250.0
poutine,0.9166666666666666,0.836,0.8744769874476988,250.0
prime_rib,0.6948051948051948,0.856,0.7670250896057348,250.0
pulled_pork_sandwich,0.7764227642276422,0.764,0.7701612903225806,250.0
ramen,0.8,0.864,0.8307692307692308,250.0
ravioli,0.5766129032258065,0.572,0.5742971887550201,250.0
red_velvet_cake,0.7966101694915254,0.752,0.7736625514403292,250.0
risotto,0.6615969581749049,0.696,0.6783625730994152,250.0
samosa,0.864406779661017,0.816,0.8395061728395061,250.0
sashimi,0.8475836431226765,0.912,0.8786127167630058,250.0
scallops,0.6,0.588,0.593939393939394,250.0
seaweed_salad,0.8862745098039215,0.904,0.8950495049504951,250.0
shrimp_and_grits,0.6284722222222222,0.724,0.6728624535315985,250.0
spaghetti_bolognese,0.9043478260869565,0.832,0.8666666666666667,250.0
spaghetti_carbonara,0.8549618320610687,0.896,0.875,250.0
spring_rolls,0.8223140495867769,0.796,0.8089430894308943,250.0
steak,0.49038461538461536,0.408,0.44541484716157204,250.0
strawberry_shortcake,0.7590361445783133,0.756,0.7575150300601202,250.0
sushi,0.8451327433628318,0.764,0.8025210084033614,250.0
tacos,0.6846473029045643,0.66,0.6720977596741344,250.0
takoyaki,0.8825910931174089,0.872,0.8772635814889336,250.0
tiramisu,0.6851851851851852,0.74,0.7115384615384616,250.0
tuna_tartare,0.5714285714285714,0.544,0.5573770491803278,250.0
waffles,0.8893617021276595,0.836,0.8618556701030928,250.0
accuracy,0.7663366336633664,0.7663366336633664,0.7663366336633664,0.7663366336633664
macro avg,0.7667800259444646,0.7663366336633661,0.7654339489074898,25250.0
weighted avg,0.7667800259444646,0.7663366336633664,0.7654339489074897,25250.0
