,precision,recall,f1-score,support
apple_pie,0.5045454545454545,0.444,0.4723404255319149,250.0
baby_back_ribs,0.7943548387096774,0.788,0.7911646586345381,250.0
baklava,0.7954545454545454,0.84,0.8171206225680934,250.0
beef_carpaccio,0.7132352941176471,0.776,0.7432950191570882,250.0
beef_tartare,0.6692015209125475,0.704,0.6861598440545809,250.0
beet_salad,0.5450643776824035,0.508,0.525879917184265,250.0
beignets,0.8643410852713178,0.892,0.8779527559055118,250.0
bibimbap,0.8611111111111112,0.868,0.8645418326693227,250.0
bread_pudding,0.510548523206751,0.484,0.49691991786447637,250.0
breakfast_burrito,0.6861924686192469,0.656,0.6707566462167689,250.0
bruschetta,0.5892116182572614,0.568,0.5784114052953157,250.0
caesar_salad,0.8032786885245902,0.784,0.7935222672064778,250.0
cannoli,0.8729508196721312,0.852,0.8623481781376519,250.0
caprese_salad,0.6404494382022472,0.684,0.6615087040618955,250.0
carrot_cake,0.7386363636363636,0.78,0.7587548638132295,250.0
ceviche,0.44787644787644787,0.464,0.45579567779960706,250.0
cheesecake,0.7040358744394619,0.628,0.6638477801268499,250.0
cheese_plate,0.7768595041322314,0.752,0.7642276422764228,250.0
chicken_curry,0.6844444444444444,0.616,0.6484210526315789,250.0
chicken_quesadilla,0.7306122448979592,0.716,0.7232323232323232,250.0
chicken_wings,0.8129770992366412,0.852,0.83203125,250.0
chocolate_cake,0.7310924369747899,0.696,0.7131147540983607,250.0
chocolate_mousse,0.5622489959839357,0.56,0.561122244488978,250.0
churros,0.8804780876494024,0.884,0.8822355289421158,250.0
clam_chowder,0.8600823045267489,0.836,0.847870182555781,250.0
club_sandwich,0.7593984962406015,0.808,0.7829457364341085,250.0
crab_cakes,0.6291666666666667,0.604,0.6163265306122448,250.0
creme_brulee,0.8239700374531835,0.88,0.851063829787234,250.0
croque_madame,0.7876447876447876,0.816,0.8015717092337917,250.0
cup_cakes,0.8365758754863813,0.86,0.8481262327416174,250.0
deviled_eggs,0.8307692307692308,0.864,0.8470588235294118,250.0
donuts,0.7755905511811023,0.788,0.7817460317460317,250.0
dumplings,0.9020408163265307,0.884,0.8929292929292929,250.0
edamame,0.9840637450199203,0.988,0.9860279441117764,250.0
eggs_benedict,0.8787878787878788,0.812,0.8440748440748441,250.0
escargots,0.8267716535433071,0.84,0.8333333333333334,250.0
falafel,0.7425742574257426,0.6,0.6637168141592921,250.0
filet_mignon,0.6031746031746031,0.608,0.6055776892430279,250.0
fish_and_chips,0.825,0.792,0.8081632653061225,250.0
foie_gras,0.4326241134751773,0.488,0.45864661654135336,250.0
french_fries,0.8783269961977186,0.924,0.9005847953216374,250.0
french_onion_soup,0.7357142857142858,0.824,0.7773584905660378,250.0
french_toast,0.6013986013986014,0.688,0.6417910447761194,250.0
fried_calamari,0.7528089887640449,0.804,0.7775628626692457,250.0
fried_rice,0.8361344537815126,0.796,0.8155737704918032,250.0
frozen_yogurt,0.8110236220472441,0.824,0.8174603174603174,250.0
garlic_bread,0.6893939393939394,0.728,0.708171206225681,250.0
gnocchi,0.6153846153846154,0.64,0.6274509803921569,250.0
greek_salad,0.7109375,0.728,0.7193675889328063,250.0
grilled_cheese_sandwich,0.5763888888888888,0.664,0.6171003717472119,250.0
grilled_salmon,0.556420233463035,0.572,0.5641025641025641,250.0
guacamole,0.8600823045267489,0.836,0.847870182555781,250.0
gyoza,0.8192771084337349,0.816,0.8176352705410822,250.0
hamburger,0.7510548523206751,0.712,0.731006160164271,250.0
